time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label,segment_id
640,0.4,-0.2,-0.1,7.9,5.6,30.699999999999996,left,left_8
756,-0.1,-0.30000000000000004,0.30000000000000004,4.2,2.2,35.9,left,left_8
856,-0.4,-0.30000000000000004,-0.2,-0.2,4.1,39.9,left,left_8
956,-0.8,0,0.2,-11.3,16.900000000000002,42.7,left,left_8
1056,-0.1,0.30000000000000004,0.5,-10.200000000000001,17.799999999999997,34.400000000000006,left,left_8
1156,0,0,-0.2,1,9.4,31.799999999999997,left,left_8
1256,-0.6000000000000001,0.2,0.30000000000000004,1.7,10.200000000000001,32.5,left,left_8
1356,0,-0.2,0.4,-0.6000000000000001,3.2,31.2,left,left_8
1457,-0.30000000000000004,-0.1,-0.1,-0.9000000000000001,7.8,32.5,left,left_8
1573,0.30000000000000004,0.1,0.1,0.1,7.500000000000001,26.799999999999997,left,left_8
1689,0,-0.2,-0.7000000000000001,4.300000000000001,4.6,26.5,left,left_8
1789,-0.1,0,0,-1.7,14,29.600000000000005,left,left_8
1890,0.4,0.1,-0.4,-0.2,13.6,29.700000000000006,left,left_8
2007,0.30000000000000004,0.2,-0.30000000000000004,-1.5,13.700000000000001,35.699999999999996,left,left_8
2122,0.5,0,0.2,-4.7,13.900000000000002,36.5,left,left_8
2222,0.30000000000000004,0.1,-0.30000000000000004,-2.5,9.3,33.7,left,left_8
2323,0,0,0.2,-3.1,7.699999999999999,33.2,left,left_8
2423,-0.2,0.1,-0.1,-3.8,7.500000000000001,35,left,left_8
13,0,-0.30000000000000004,-0.4,-30.699999999999996,-8.5,-8.700000000000001,wait,wait_1
113,0.1,-0.2,0.6000000000000001,-2.9,4.2,-4.5,wait,wait_1
213,-0.2,0.2,0.30000000000000004,1.7,-1.6,1.7,wait,wait_1
313,0.1,-0.2,0.1,-1.4,1.5,1.6,wait,wait_1
414,-0.4,0.2,-0.30000000000000004,-1.8000000000000003,6.9,3.3000000000000007,wait,wait_1
514,0.1,-0.1,0.30000000000000004,-0.6000000000000001,9.600000000000001,2.8,wait,wait_1
614,-0.1,0,-0.2,10.700000000000001,5,-0.7,wait,wait_1
714,0.2,-0.1,0,-4.6,-10.9,3,wait,wait_1
815,0,0,0.1,-1.8000000000000003,-5,2.2,wait,wait_1
915,0,-0.1,-0.1,-1.7,-0.6000000000000001,3.1,wait,wait_1
1032,0.1,0,0,-2.6,1.9,1.9,wait,wait_1
1132,-0.1,0,0.1,0.9000000000000001,0.8,0.9000000000000001,wait,wait_1
1247,0.1,0,-0.30000000000000004,-0.9000000000000001,0.1,0,wait,wait_1
1349,0,0,-0.1,0.30000000000000004,1.3,0.30000000000000004,wait,wait_1
1465,0,0,0,-1,1.8000000000000003,0.2,wait,wait_1
1565,0.1,0,0,-1.2000000000000002,-0.5,-0.2,wait,wait_1
1680,0,0,0,-0.8,0.2,0.5,wait,wait_1
1780,0.1,0,-0.2,1.1,0.30000000000000004,-0.6000000000000001,wait,wait_1
1880,-0.1,0,0.1,1.4,0.30000000000000004,0.5,wait,wait_1
1981,0.1,0,0,1,1,0.1,wait,wait_1
2096,0,0,0,1.4,0.9000000000000001,0.30000000000000004,wait,wait_1
2198,0,-0.1,-0.1,2,0.9000000000000001,0.8,wait,wait_1
2314,0.1,0,-0.2,-3.1,-3.6000000000000005,0,wait,wait_1
2415,0,-0.1,-0.1,3.5,-1.5,-1.1,wait,wait_1
3,0,-0.2,0.4,-12.200000000000001,6.2,-5.7,right,right_1
115,-0.2,0,-0.4,-4.2,-2.3,-9.2,right,right_1
215,-0.30000000000000004,0.1,-0.5,1.8000000000000003,4.1,-10.8,right,right_1
315,0,0,0,7.200000000000001,-4.9,-25.8,right,right_1
415,0,0.2,0.1,-5.8,-11.900000000000002,-33.7,right,right_1
516,0,-0.1,0,0.5,-9.899999999999999,-45.7,right,right_1
632,-0.30000000000000004,-0.1,0,-2.3,-14.5,-54.4,right,right_1
732,-0.2,-0.2,0,2.5,-9.899999999999999,-52.5,right,right_1
833,-0.2,0.1,-0.2,5.9,-19.5,-58.900000000000006,right,right_1
949,0.4,-0.30000000000000004,-0.30000000000000004,16.3,-9.700000000000001,-67.2,right,right_1
1049,0.1,-0.2,0.30000000000000004,9.600000000000001,0.5,-62.6,right,right_1
1149,0.5,-0.1,-0.2,6,-20.1,-61.10000000000001,right,right_1
1249,-0.30000000000000004,0.2,0.4,0.2,-14,-45.9,right,right_1
1349,0,0.1,-0.4,5.6,-15.899999999999999,-48,right,right_1
1449,0.1,0,-0.1,1.9,-10.700000000000001,-40.4,right,right_1
1549,-0.1,-0.2,-0.1,-3.8,-9.899999999999999,-41.1,right,right_1
1649,0,0,0.1,-4.7,-11.4,-32,right,right_1
1749,-0.30000000000000004,0,0,-3.4,-4.9,-32.1,right,right_1
1849,0,-0.1,-0.30000000000000004,6.9,-12.5,-33,right,right_1
1949,-0.4,-0.2,0,-1.1,-7.300000000000001,-24.3,right,right_1
2049,-0.2,-0.1,-0.2,2.1,-11.4,-35.599999999999994,right,right_1
2149,-0.7000000000000001,0.2,0.6000000000000001,-6.4,-6.500000000000001,-39.50000000000001,right,right_1
2249,-0.5,0.2,0.1,-2.1,-2.3,-44.300000000000004,right,right_1
2349,-0.1,-0.2,-0.2,-1.7,-4.4,-31.799999999999997,right,right_1
2449,0.1,0.5,0,4.5,-3.4,-26.5,right,right_1
4,0.30000000000000004,0,-0.1,3.3000000000000007,-9.100000000000001,-14.100000000000001,right,right_2
104,0.30000000000000004,0,0.4,3.6000000000000005,-4.300000000000001,-19.6,right,right_2
204,0.2,0.1,0,-3.9,-10.299999999999999,-19.200000000000003,right,right_2
304,0.1,-0.1,-0.30000000000000004,1,-5.1000000000000005,-25,right,right_2
404,0.30000000000000004,0,0.1,-0.5,-7.400000000000001,-31.3,right,right_2
504,0.4,-0.2,0,2.7,-10.8,-39.2,right,right_2
604,0.30000000000000004,-0.30000000000000004,0,-3.1,-8.100000000000001,-43.800000000000004,right,right_2
704,-0.2,-0.1,0.2,-2.4000000000000004,-10.5,-46.7,right,right_2
820,-0.5,0,0.2,5.7,-11.900000000000002,-39.50000000000001,right,right_2
920,-0.30000000000000004,-0.1,-0.2,1.6,-15.299999999999999,-36.5,right,right_2
1020,-0.30000000000000004,-0.2,-0.6000000000000001,6.300000000000001,-8.3,-34.900000000000006,right,right_2
1120,-0.7000000000000001,-0.1,0.9,-1,-11.4,-52.60000000000001,right,right_2
1220,0,-0.1,0.1,-3.1,-7.1000000000000005,-52.900000000000006,right,right_2
1320,-0.1,-0.30000000000000004,-0.2,0.1,-15.100000000000001,-62.6,right,right_2
1421,0,0,-0.7000000000000001,1.5,-12.5,-57.60000000000001,right,right_2
1537,0,-0.30000000000000004,-0.4,-0.6000000000000001,-6.699999999999999,-53,right,right_2
1637,0.2,0,-0.1,-1.3,-4,-50.8,right,right_2
1737,0.1,0.1,-0.2,0.4,-8.2,-42,right,right_2
1837,0.30000000000000004,0.1,-0.1,-0.4,-13.5,-37.7,right,right_2
1937,0.2,0.30000000000000004,0.1,-4.7,-11.3,-33.1,right,right_2
2037,-0.1,0.1,-0.4,-2.7,-0.9000000000000001,-27.2,right,right_2
2137,-0.1,0.1,-0.2,-1.2000000000000002,3.2,-17.200000000000003,right,right_2
2237,0,0,0.1,-1.8000000000000003,-3.6000000000000005,-16.5,right,right_2
2337,-0.5,0,-0.4,-2.3,-3.1,-10.600000000000001,right,right_2
2439,-0.6000000000000001,-0.2,-0.1,-3.3000000000000007,-1.4,0.2,right,right_2
15,0.2,0,-0.1,2.5,-3.3000000000000007,-21.200000000000003,right,right_3
129,0.4,0.1,-0.2,-2.1,-5.9,-26.200000000000003,right,right_3
229,0.2,0.1,0.30000000000000004,-1.1,-4.7,-25.200000000000003,right,right_3
330,0.2,0.1,-0.4,7.8,-10.200000000000001,-29.800000000000004,right,right_3
446,0.2,0.1,-0.2,7.400000000000001,-11.3,-32,right,right_3
546,0.1,-0.1,-0.2,6.500000000000001,-11.3,-31.2,right,right_3
646,-0.30000000000000004,0,0.30000000000000004,4,-7,-33,right,right_3
746,-0.2,-0.1,-0.2,3.5,-12.200000000000001,-30.699999999999996,right,right_3
846,-0.6000000000000001,-0.30000000000000004,0.1,1,-6.699999999999999,-17.400000000000002,right,right_3
946,-0.5,0.1,-0.4,-2.9,-5,-26.799999999999997,right,right_3
1046,-0.1,-0.2,0.30000000000000004,-4.9,-6.500000000000001,-31.099999999999998,right,right_3
1146,0.2,-0.2,-0.30000000000000004,-3.7000000000000006,-16.200000000000003,-46.199999999999996,right,right_3
1246,0,-0.1,0,-2,-17.300000000000004,-56,right,right_3
1346,-0.4,-0.1,0,2.3,-17.799999999999997,-63.30000000000001,right,right_3
1446,0.30000000000000004,-0.2,0.7000000000000001,-1.8000000000000003,-5,-62.300000000000004,right,right_3
1546,0.30000000000000004,-0.1,-0.6000000000000001,4.800000000000001,-6.300000000000001,-57.800000000000004,right,right_3
1646,0.6000000000000001,0,0,0.7,-11.000000000000002,-53.400000000000006,right,right_3
1746,0.1,0.1,0.1,0.2,-11.5,-51.9,right,right_3
1846,-0.1,0.2,-0.1,1.9,-15.100000000000001,-45,right,right_3
1946,-0.2,0.2,-0.2,-1.6,-9.8,-38.800000000000004,right,right_3
2046,-0.2,0.2,-0.2,0.6000000000000001,-11.8,-33.6,right,right_3
