time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label,segment_id
1755,-0.2,-0.1,0,5.4,4.7,79.39999999999999,left,left_5
1855,-0.1,0,-0.1,1.4,34.60000000000001,76.3,left,left_5
1955,-0.1,0,0,-8.8,5.1000000000000005,88.4,left,left_5
2055,0.1,0,0,7.400000000000001,16.6,68.3,left,left_5
2155,0,0.1,0,0,5.2,57.699999999999996,left,left_5
2255,0.1,0.1,0.1,11.900000000000002,11.6,44.7,left,left_5
2355,0,0.1,0,-6.4,-1.9,36.1,left,left_5
2455,0.1,0,-0.1,0.5,4.6,36.400000000000006,left,left_5
2555,0.1,0,0,-3.5,-5.9,34.60000000000001,left,left_5
2655,0.1,0.1,0,4.5,1.3,37.400000000000006,left,left_5
2755,0,0,0.1,3.3000000000000007,5.500000000000001,36.8,left,left_5
2855,0.1,0,0.1,11.5,5.8,37.800000000000004,left,left_5
11,-0.1,-0.1,0,-11.700000000000001,14.100000000000001,42.5,left,left_6
117,-0.1,-0.1,0,-15.899999999999999,14.300000000000002,50.900000000000006,left,left_6
217,-0.1,-0.1,0,-14.200000000000001,17.7,59.1,left,left_6
317,-0.1,-0.1,0,-11.000000000000002,8,59.699999999999996,left,left_6
417,-0.1,0,0.1,2.2,13.100000000000001,55.7,left,left_6
517,0,0,0,3,8,56,left,left_6
617,0,0,0,-0.7,9.4,58.60000000000001,left,left_6
717,0.1,0,0,1.8000000000000003,-6.500000000000001,51.70000000000001,left,left_6
817,0.2,0,-0.1,-6.500000000000001,-2.6,46.50000000000001,left,left_6
917,0.2,0,0,-7.400000000000001,3.3000000000000007,47.2,left,left_6
1017,0.1,0,-0.1,-2.9,11.6,61.10000000000001,left,left_6
1117,0,0,0.1,-13.700000000000001,9.8,69.20000000000002,left,left_6
1217,0.1,0,0,0.2,3.6000000000000005,78.60000000000001,left,left_6
1317,0,0,0,-15.399999999999999,13.100000000000001,88.8,left,left_6
1417,0,0,0,-15.299999999999999,0.9000000000000001,98.50000000000001,left,left_6
1517,0.1,0,0,-5.9,14.600000000000001,91.90000000000002,left,left_6
1617,0,-0.1,0,4.9,36.400000000000006,99.9,left,left_6
1717,0,-0.2,0,-11.3,-7.6,105,left,left_6
1817,-0.2,-0.1,0,-11.900000000000002,4.300000000000001,80.60000000000001,left,left_6
1917,-0.2,0,0.1,-6.300000000000001,18.200000000000003,75.7,left,left_6
2017,-0.2,0.1,0,-0.4,13.5,84.2,left,left_6
2117,-0.1,0,0,8.700000000000001,3.7000000000000006,84,left,left_6
2217,0,0,-0.1,15.299999999999999,17.1,75.00000000000001,left,left_6
2317,0.1,0,0,10.5,9,72.50000000000001,left,left_6
2417,0,0.1,0,0.30000000000000004,4.4,69.60000000000001,left,left_6
2517,0,0.1,0,-28.700000000000003,8.5,62.800000000000004,left,left_6
2617,0.2,0,-0.1,-16.6,15.6,53.9,left,left_6
2717,0.1,0,0.1,-7.699999999999999,4.4,46.50000000000001,left,left_6
2817,0.1,0,0,2.1,15.8,43.900000000000006,left,left_6
14,-0.1,-0.1,0.1,13.3,7.1000000000000005,66.2,left,left_7
125,-0.1,-0.2,-0.1,-5.9,20.8,72.10000000000001,left,left_7
225,-0.1,-0.1,0,-12.5,12.200000000000001,79.19999999999999,left,left_7
325,-0.1,0,0,-14.300000000000002,20.3,83.10000000000001,left,left_7
425,-0.1,0,0.1,-12.200000000000001,7.1000000000000005,85,left,left_7
525,0,0.1,0,-3.2,19.6,78.5,left,left_7
625,0,0,0,7.200000000000001,1.3,72.7,left,left_7
725,0,0.1,-0.1,5.8,13.8,67.5,left,left_7
825,0,0,0,11.000000000000002,-3.2,64.2,left,left_7
925,0.2,0,-0.1,6.4,-3.4,57.00000000000001,left,left_7
1025,0.2,0,0,-1.3,5.500000000000001,53,left,left_7
1125,0.1,0.1,-0.1,-0.6000000000000001,0.5,64,left,left_7
1225,0.1,0,0,-13.6,-2.9,68.60000000000001,left,left_7
1325,0.1,0,0,2.8,-1.7,71.7,left,left_7
1425,0.1,0,0,-11.6,8.5,74.4,left,left_7
1525,0.1,0,0,-10.4,3.4,78.60000000000001,left,left_7
1625,0.1,0,0,-0.9000000000000001,9.8,71.9,left,left_7
1725,0,-0.1,0,10.5,12.4,77.1,left,left_7
1825,-0.1,-0.1,0.1,-15.000000000000002,14.600000000000001,86.3,left,left_7
1925,-0.2,-0.1,-0.1,-4.7,13.8,79.19999999999999,left,left_7
2025,-0.2,-0.1,0.1,3.3000000000000007,23.5,74.5,left,left_7
2125,-0.2,-0.1,-0.1,-3.2,18.4,74.2,left,left_7
2225,-0.1,0,0.1,-2.4000000000000004,8.4,68.3,left,left_7
2325,0,0,0,11.3,14.700000000000001,55.5,left,left_7
2426,0,0.1,0.1,8.3,8.2,47.900000000000006,left,left_7
2546,0,0.1,0,10.8,9.2,33.50000000000001,left,left_7
2658,-0.1,0.1,0,11.3,4.2,29,left,left_7
2759,0,0.1,0,-1.1,-3.5,22.8,left,left_7
2859,0.1,0.1,0,11.000000000000002,-4.300000000000001,22.8,left,left_7
10,-0.1,-0.1,0,-8.600000000000001,19.6,64.50000000000001,left,left_8
126,0,-0.1,0.1,-9.5,16.900000000000002,81.50000000000001,left,left_8
240,0,-0.2,0,-9.3,14.400000000000002,76.4,left,left_8
340,-0.1,-0.1,0,-11.6,13.3,76,left,left_8
440,-0.1,0,0,-15.299999999999999,15.5,75.00000000000001,left,left_8
540,-0.2,0,0.1,-2.8,16.1,80.8,left,left_8
640,-0.1,0,0.1,2.8,18.5,81.7,left,left_8
740,0,0,0,12.299999999999999,22.5,85.30000000000001,left,left_8
840,0,0,-0.1,3.8,14.900000000000002,85.80000000000001,left,left_8
940,0,0,-0.1,2.7,20.3,83.60000000000001,left,left_8
1040,0.1,0,0,4,9.5,82.8,left,left_8
1140,0.2,0,0,-3.3000000000000007,17.5,79.7,left,left_8
1240,0.2,0,0.2,9.899999999999999,21.300000000000004,84.6,left,left_8
1340,0.1,0.1,-0.1,-16.4,9.600000000000001,81.3,left,left_8
1440,0.1,0,0.1,-6.4,13.8,87.40000000000002,left,left_8
1540,0,0.1,-0.2,-13.6,12.100000000000001,93.3,left,left_8
1640,0,-0.1,0,-16.4,8.2,92.39999999999999,left,left_8
1740,0,-0.1,0,-7.8,22.6,96.4,left,left_8
1840,0,-0.2,0.1,2.2,4.4,99.00000000000001,left,left_8
1940,0,-0.1,0,0.1,9.700000000000001,81.7,left,left_8
2040,-0.2,-0.1,0,4.1,16.4,77.4,left,left_8
2140,-0.1,0,-0.1,3,5,81.50000000000001,left,left_8
2240,-0.1,0.1,0,1.3,3.8,81,left,left_8
2340,0,0.1,0,9.5,13.700000000000001,71.7,left,left_8
2440,0.1,0.1,0,13.5,14.300000000000002,61.9,left,left_8
2540,0.1,0.1,0,17.400000000000002,10.8,54.199999999999996,left,left_8
